pavillon,numero,capacite,id_categorie
C1,1936,74,1
C1,4488,9,4
C1,4474,22,3
C1,3721,5,4
C1,2609,50,5
C2,4809,11,6
C2,4739,78,7
C2,4740,44,8
C2,3553,32,10
C2,5427,58,11
C2,3074,1,15
C1,4392,8,4

C1,5299,57,2
C1,3784,14,3
C1,3616,62,5
C1,3363,42,6
C2,4159,65,9
C2,5961,13,12
C2,4628,50,13
C2,1170,1,16
C2,3341,48,17
C2,5912,21,20

C1,5675,7,4
C1,3403,53,5
C1,5055,67,8
C2,1019,35,13
C2,1959,69,14
C2,2406,55,19
C2,1052,48,21

C1,2787,80,13
C1,2658,64,14
C1,4796,52,18
C2,1587,1,19
C2,3138,59,20
C2,5543,64,21
